time_s,flux_mJy,flux_err_mJy,frequency_Hz,wavelength_AA,mag_AB_galcorr,mag_err,n_pix,flux_err_mJy_conservative
1883.6490894897809,3.3495480027122704,0.46275715795879513,393170436721311.5,7625.0,15.087600107057227,0.15,67,0.8214573195233235
2113.4890398366238,2.841264641677086,0.3925352165506036,393170436721311.5,7625.0,15.26628640539187,0.15,68,0.6968037582141038
2371.3737056616287,2.841264641677086,0.3925352165506036,393170436721311.5,7625.0,15.26628640539187,0.15,5,0.6968037582141038
2660.7250597987786,5.31024868697305,0.7336379680029209,393170436721311.5,7625.0,14.587278471720225,0.15,67,1.3023078483636952
2985.3826189179235,6.158031805118402,0.8507635341989308,393170436721311.5,7625.0,14.426460803219046,0.15,48,1.5102217660639006
3349.654391578235,5.958638299797998,0.8232163034194953,393170436721311.5,7625.0,14.462198062885975,0.15,108,1.4613216594590008
3758.3740428843935,5.3983658323782375,0.7458118015297514,393170436721311.5,7625.0,14.56940984188676,0.15,47,1.3239180698055075
4216.965034285767,5.2235698715283565,0.7216628471036409,393170436721311.5,7625.0,14.605147101553689,0.15,70,1.2810503690449935
4731.51258961474,4.655166777371902,0.7951045022964737,393170436721311.5,7625.0,14.73022751038794,0.18544421413765982,101,1.2336691454273865
5308.844442309809,3.136146908054288,0.43327470719551026,393170436721311.5,7625.0,15.159074626391085,0.15,120,0.7691219324624002
5956.621435290018,2.9850667196830907,0.4124022078200951,393170436721311.5,7625.0,15.212680515891478,0.15,86,0.7320703880534265
6683.439175686046,1.8828919054969502,0.275656074145164,393170436721311.5,7625.0,15.71300215122848,0.1589521835465667,228,0.47068896143379146
7498.942093324444,1.8219249554944552,0.25170823458452235,393170436721311.5,7625.0,15.748739410895409,0.15,65,0.4468165821481699
8413.951416451819,1.6236720733671397,0.2243185867227546,393170436721311.5,7625.0,15.87381981972966,0.15,163,0.3981962067995538
9440.608762859081,1.423372941426919,0.19664623900204262,393170436721311.5,7625.0,16.016768858397374,0.15,80,0.34907400049194764
10592.537251772725,0.9355320733708654,0.12924853236969397,393170436721311.5,7625.0,16.472418919150716,0.15,58,0.22943384262504724
11885.022274369994,0.9355320733708654,0.12924853236969397,393170436721311.5,7625.0,16.472418919150716,0.15,6,0.22943384262504724
14962.356560944083,0.7369204832356403,0.10180932716522122,393170436721311.5,7625.0,16.73151405173595,0.15,20,0.18072549620737033
16788.040181225315,0.7369204832356403,0.10180932716522122,393170436721311.5,7625.0,16.73151405173595,0.15,50,0.18072549620737033
23713.737056616115,0.1110359610523025,0.015340184922317951,393170436721311.5,7625.0,18.78640648258435,0.15,16,0.027230928729148802
26607.250597987597,0.25702993386574835,0.03550999765035105,393170436721311.5,7625.0,17.875106361077666,0.15,25,0.06303510812194556
29853.82618917902,0.20080379924428193,0.053895876419906355,393170436721311.5,7625.0,18.143135808579633,0.2914123365020376,92,0.0675300592644989
33496.54391578211,0.1568773145776823,0.022966897107939463,393170436721311.5,7625.0,18.4111652560816,0.15895218354656934,222,0.03921649461422654
37583.74042884367,0.11287846834376943,0.01927969129456839,393170436721311.5,7625.0,18.768537852750885,0.18544421413765982,259,0.029914005284559807
42169.65034285736,0.07730715898025081,0.011317796781429135,393170436721311.5,7625.0,19.179516338920564,0.15895218354656934,234,0.019325393170782
