96 configs; eps_e=0.1, xi=0.9, Gamma0=400 fixed
     E   th     n    p      eB |  F38(ssc)  boost   G38  G113 |    F0.15h  i38/uJy
 1e+53  0.3    50  2.2   1e-06 |  2.10e-14    0.0  2.05  2.05 |  8.03e-12     1.39
 1e+53  0.3    50  2.2   1e-05 |  6.13e-14    0.0  2.05  2.05 |  2.45e-11     5.31
 1e+53  0.3    50  2.2   1e-04 |  1.65e-13    0.1  2.05  2.05 |  8.42e-11    17.11
 1e+53  0.3    50  2.2   1e-03 |  4.15e-13    0.1  2.06  2.06 |  3.21e-10    48.59
 1e+53  0.3    50  2.6   1e-06 |  1.18e-14    0.2  2.05  2.07 |  7.66e-12     1.17
 1e+53  0.3    50  2.6   1e-05 |  3.93e-14    0.1  1.99  2.01 |  2.49e-11     6.08
 1e+53  0.3    50  2.6   1e-04 |  1.03e-13    0.2  1.94  1.95 |  9.52e-11    21.04
 1e+53  0.3    50  2.6   1e-03 |  2.16e-13    0.3  1.96  1.95 |  3.33e-10    55.63
 1e+53  0.3   500  2.2   1e-06 |  2.43e-14    0.0  1.92  1.94 |  7.59e-12     1.79
 1e+53  0.3   500  2.2   1e-05 |  6.89e-14    0.0  1.92  1.94 |  2.64e-11     5.54
 1e+53  0.3   500  2.2   1e-04 |  1.69e-13    0.1  1.95  1.96 |  9.99e-11    15.22
 1e+53  0.3   500  2.2   1e-03 |  3.84e-13    0.1  2.01  2.01 |  3.20e-10    41.25
 1e+53  0.3   500  2.6   1e-06 |  3.36e-14    0.2  1.71  1.83 |  6.25e-12     1.80
 1e+53  0.3   500  2.6   1e-05 |  1.12e-13    0.3  1.69  1.80 |  2.57e-11     5.98
 1e+53  0.3   500  2.6   1e-04 |  2.28e-13    0.4  1.74  1.83 |  8.75e-11    14.90
 1e+53  0.3   500  2.6   1e-03 |  3.24e-13    0.5  1.86  1.93 |  3.36e-10    39.31

targets: F38=4.1e-13 F113=1.1e-13 Gamma=1.82+-0.21; early F(0.15h)=1.1e-10
i-band data @38hr: none (last opt ~10hr, ~0.5 mJy at 5hr); wing supplies opt
6s total
